,pdbid,-logKd/Ki,include,set
3712,3nim,4.75,True,refined
3713,3vw2,4.75,True,refined
3714,4ds1,4.75,True,general
3715,4mnx,4.75,True,general
3716,5lcf,4.75,True,general
3717,5yz7,4.75,True,general
3718,1q8t,4.76,True,core
3719,2cgw,4.76,True,general
3720,3acw,4.76,True,core
3721,3atl,4.76,True,general
3722,3hdk,4.76,True,general
3723,3o5n,4.76,True,refined
3724,3rxe,4.76,True,general
3725,3twv,4.76,True,general
3726,4au7,4.76,True,general
3727,4cjn,4.76,True,general
3728,4oef,4.76,True,general
3729,4p7e,4.76,True,general
3730,4uub,4.76,True,general
3731,4wop,4.76,True,refined
3732,4z8a,4.76,True,general
3733,5bqg,4.76,True,general
3734,5lne,4.76,True,refined
3735,5lp6,4.76,True,general
3736,6c2x,4.76,True,general
3737,1h62,4.77,True,general
3738,1l5r,4.77,True,general
3739,1pxi,4.77,True,general
3740,1rti,4.77,True,general
3741,1str,4.77,True,refined
3742,1uyk,4.77,True,general
3743,2afw,4.77,True,refined
3744,2b2v,4.77,True,general
3745,2b4l,4.77,True,refined
3746,2chw,4.77,True,general
3747,2dua,4.77,True,general
3748,2f0z,4.77,True,general
3749,2qn1,4.77,True,general
3750,2x4o,4.77,True,general
3751,2x4r,4.77,True,general
3752,2xk4,4.77,True,general
3753,2y1n,4.77,True,general
3754,3abt,4.77,True,general
3755,3cyy,4.77,True,general
3756,3d50,4.77,True,refined
3757,3iqu,4.77,True,refined
3758,3mkf,4.77,True,general
3759,3rm9,4.77,True,refined
3760,3rqe,4.77,True,general
3761,3s1h,4.77,True,general
3762,3t3i,4.77,True,general
3763,3tiy,4.77,True,general
3764,3vbx,4.77,True,general
3765,3vv8,4.77,True,general
3766,4j09,4.77,True,general
3767,4kax,4.77,True,refined
3768,4kox,4.77,True,general
3769,4odp,4.77,True,general
3770,4uoh,4.77,True,refined
3771,5ccl,4.77,True,general
3772,5cwa,4.77,True,general
3773,5ho7,4.77,True,general
3774,5iyy,4.77,True,refined
3775,5mkr,4.77,True,refined
3776,5mks,4.77,True,refined
3777,5nxx,4.77,True,general
3778,5o0j,4.77,True,general
3779,5o5a,4.77,True,refined
3780,5orj,4.77,True,refined
3781,5wbr,4.77,True,general
3782,5wqd,4.77,True,general
3783,5yba,4.77,True,general
3784,6bj3,4.77,True,general
3785,6f8x,4.77,True,general
3786,6fgg,4.77,True,refined
3787,6prc,4.77,True,general
3788,2rr4,4.78,True,general
3789,4ad6,4.78,True,refined
3790,5obj,4.78,True,general
3791,5zuj,4.78,True,general
3792,6czc,4.78,True,refined
3793,6fbw,4.78,True,general
3794,1eed,4.79,True,general
3795,1oss,4.79,True,refined
3796,2nsj,4.79,True,refined
3797,3eb1,4.79,True,refined
3798,3g2k,4.79,True,general
3799,4as9,4.79,True,general
3800,4j8b,4.79,True,general
3801,4k78,4.79,True,general
3802,5fwa,4.79,True,general
3803,5k1f,4.79,True,refined
3804,5kgw,4.79,True,general
3805,1azg,4.8,True,general
3806,1bju,4.8,True,refined
3807,1ghz,4.8,True,refined
3808,1qxy,4.8,True,general
3809,1tsv,4.8,True,general
3810,1ybg,4.8,True,general
3811,2ly0,4.8,True,general
3812,2nta,4.8,True,refined
3813,2r1x,4.8,True,general
3814,2vwv,4.8,True,general
3815,2y2j,4.8,True,general
3816,3bpc,4.8,True,refined
3817,3dnd,4.8,True,refined
3818,3iiy,4.8,True,general
3819,3iu7,4.8,True,general
3820,3kce,4.8,True,general
3821,3mlb,4.8,True,general
3822,3o2m,4.8,True,general
3823,3stj,4.8,True,general
3824,4aq6,4.8,True,refined
3825,4bde,4.8,True,general
3826,4de7,4.8,True,general
3827,4dhs,4.8,True,general
3828,4dkt,4.8,True,general
3829,4llp,4.8,True,refined
3830,4lzs,4.8,True,core
3831,4m7x,4.8,True,general
3832,4mk1,4.8,True,general
3833,4pb2,4.8,True,refined
3834,5bpp,4.8,True,general
3835,5c6v,4.8,True,general
3836,5eko,4.8,True,general
3837,5j3l,4.8,True,refined
3838,5jeo,4.8,True,general
3839,5jq7,4.8,True,general
3840,5jzi,4.8,True,refined
3841,5k51,4.8,True,general
3842,5kgx,4.8,True,general
3843,6f6u,4.8,True,general
3844,6f8v,4.8,True,general
3845,1b4d,4.81,True,general
3846,1p5e,4.81,True,general
3847,2cgx,4.81,True,general
3848,4ago,4.81,True,refined
3849,4yzn,4.81,True,general
3850,5cqj,4.81,True,general
3851,5iaw,4.81,True,general
3852,5iy4,4.81,True,general
3853,1aid,4.82,True,refined
3854,1dud,4.82,True,refined
3855,1f8e,4.82,True,refined
3856,1njt,4.82,True,general
3857,1uy9,4.82,True,general
3858,1v1j,4.82,True,refined
3859,1xff,4.82,True,refined
3860,1y3p,4.82,True,refined
3861,1ya4,4.82,True,general
3862,2a0t,4.82,True,general
3863,2gl0,4.82,True,refined
3864,2gzl,4.82,True,refined
3865,2hb9,4.82,True,general
3866,2hr6,4.82,True,general
3867,2ilp,4.82,True,general
3868,2jal,4.82,True,general
3869,2l0i,4.82,True,general
3870,2l11,4.82,True,general
3871,2ms4,4.82,True,general
3872,2pwg,4.82,True,refined
3873,2xp8,4.82,True,general
3874,2xqq,4.82,True,general
3875,2ypi,4.82,True,refined
3876,3ehw,4.82,True,general
3877,3fbr,4.82,True,general
3878,3ft5,4.82,True,general
3879,3h0v,4.82,True,general
3880,3kmx,4.82,True,refined
3881,3kqy,4.82,True,general
3882,3lxo,4.82,True,general
3883,3qqk,4.82,True,general
3884,3r88,4.82,True,core
3885,3unk,4.82,True,general
3886,3vd4,4.82,True,refined
3887,3wk5,4.82,True,general
3888,4ciw,4.82,True,core
3889,4dht,4.82,True,general
3890,4e5f,4.82,True,general
3891,4e6c,4.82,True,general
3892,4fys,4.82,True,refined
3893,4hup,4.82,True,general
3894,4ie5,4.82,True,general
3895,4ih3,4.82,True,refined
3896,4io6,4.82,True,refined
3897,4kwf,4.82,True,refined
3898,4pkr,4.82,True,general
3899,4pks,4.82,True,general
3900,4rlu,4.82,True,refined
3901,5ayf,4.82,True,general
3902,5bnm,4.82,True,general
3903,5d7x,4.82,True,general
3904,5ewa,4.82,True,refined
3905,5lvf,4.82,True,general
3906,5ocj,4.82,True,general
3907,5orl,4.82,True,general
3908,5wej,4.82,True,general
3909,6as6,4.82,True,general
3910,6h2t,4.82,True,refined
3911,3a1s,4.83,True,general
3912,3a1t,4.83,True,general
3913,3cf9,4.83,True,general
3914,3ds0,4.83,True,general
3915,4k6y,4.83,True,general
3916,4nmo,4.83,True,general
3917,4pkt,4.83,True,general
3918,5dp6,4.83,True,general
3919,5efa,4.83,True,refined
3920,5vjp,4.83,True,general
3921,1ftk,4.84,True,general
3922,1nhw,4.84,True,general
3923,1uyh,4.84,True,general
3924,3r0y,4.84,True,general
3925,3vvy,4.84,True,refined
3926,4aif,4.84,True,general
3927,4ckj,4.84,True,general
3928,4kif,4.84,True,refined
3929,4l7n,4.84,True,general
3930,4m5j,4.84,True,general
3931,4njd,4.84,True,general
3932,4uof,4.84,True,refined
3933,4yje,4.84,True,general
3934,5d1r,4.84,True,refined
3935,5e1b,4.84,True,general
3936,5kv8,4.84,True,general
3937,5vwi,4.84,True,general
3938,5xyx,4.84,True,general
3939,186l,4.85,True,refined
3940,1bux,4.85,True,general
3941,1c83,4.85,True,refined
3942,1ecv,4.85,True,refined
3943,1jws,4.85,True,general
3944,1n51,4.85,True,refined
3945,1o2p,4.85,True,general
3946,1qji,4.85,True,refined
3947,1tkc,4.85,True,general
3948,1uu7,4.85,True,general
3949,1vkj,4.85,True,general
3950,1xgi,4.85,True,refined
3951,1ymx,4.85,True,general
3952,2j4k,4.85,True,general
3953,2j87,4.85,True,general
3954,2ow7,4.85,True,general
3955,2p8o,4.85,True,general
3956,2qwd,4.85,True,refined
3957,2r9x,4.85,True,refined
3958,2w4x,4.85,True,core
3959,2ww2,4.85,True,general
3960,3cj2,4.85,True,refined
3961,3f70,4.85,True,refined
3962,3h52,4.85,True,general
3963,3ik1,4.85,True,general
3964,3k05,4.85,True,general
3965,3kpw,4.85,True,general
3966,3kqa,4.85,True,general
3967,3ohi,4.85,True,refined
3968,3qnd,4.85,True,general
3969,3ru1,4.85,True,refined
3970,3rv7,4.85,True,general
3971,3wp1,4.85,True,general
3972,3zyf,4.85,True,refined
3973,4fyh,4.85,True,general
3974,4hpi,4.85,True,refined
3975,4iic,4.85,True,refined
3976,4ikn,4.85,True,general
3977,4j7e,4.85,True,refined
3978,4lq9,4.85,True,general
3979,4nmt,4.85,True,general
3980,4ok6,4.85,True,general
3981,4ovh,4.85,True,refined
3982,4q87,4.85,True,refined
3983,4w57,4.85,True,general
3984,4wmx,4.85,True,general
3985,5abf,4.85,True,general
3986,5efc,4.85,True,refined
3987,5ewk,4.85,True,refined
3988,5f90,4.85,True,general
3989,5fbe,4.85,True,general
3990,5jsg,4.85,True,refined
3991,5lyy,4.85,True,general
3992,5o1h,4.85,True,refined
3993,5u5l,4.85,True,general
3994,5yc3,4.85,True,general
3995,6cq4,4.85,True,general
3996,6dxg,4.85,True,general
3997,6gpb,4.85,True,general
3998,2brb,4.86,True,core
3999,3g2i,4.86,True,general
4000,5djr,4.86,True,general
4001,5i40,4.86,True,general
4002,5myd,4.86,True,general
4003,5yfs,4.86,True,refined
4004,6afg,4.86,True,general
4005,1zd5,4.87,True,general
4006,2cgu,4.87,True,general
4007,3hfv,4.87,True,general
4008,3iw8,4.87,True,general
4009,3kjf,4.87,True,general
4010,3l3z,4.87,True,general
4011,4i2z,4.87,True,general
4012,4ipj,4.87,True,refined
4013,4os4,4.87,True,general
4014,4q0k,4.87,True,refined
4015,4rlw,4.87,True,refined
4016,4rra,4.87,True,refined
4017,4y3b,4.87,True,general
4018,5knv,4.87,True,general
4019,6apu,4.87,True,general
4020,2clx,4.88,True,general
4021,2ylo,4.88,True,general
4022,3exh,4.88,True,refined
4023,3ij0,4.88,True,general
4024,3lp4,4.88,True,refined
4025,3pjt,4.88,True,general
4026,3pju,4.88,True,refined
4027,4l7o,4.88,True,general
4028,5alt,4.88,True,general
4029,5nwe,4.88,True,refined
4030,6clv,4.88,True,general
4031,1h0w,4.89,True,general
4032,1h61,4.89,True,general
4033,1h79,4.89,True,general
4034,1ilq,4.89,True,general
4035,1p1q,4.89,True,core
4036,1pxj,4.89,True,general
4037,1z6f,4.89,True,general
4038,2aoc,4.89,True,refined
4039,2j77,4.89,True,refined
4040,2lsk,4.89,True,general
4041,2vo5,4.89,True,refined
4042,3cx9,4.89,True,general
4043,3d4z,4.89,True,core
4044,3hfz,4.89,True,general
4045,3juk,4.89,True,refined
4046,3m8u,4.89,True,refined
4047,3nij,4.89,True,general
4048,3njq,4.89,True,general
4049,3qs6,4.89,True,general
4050,4cd1,4.89,True,general
4051,4f14,4.89,True,general
4052,4l9i,4.89,True,refined
4053,4o0j,4.89,True,general
4054,4o7f,4.89,True,general
4055,4pgh,4.89,True,general
4056,4pnu,4.89,True,refined
4057,4qh8,4.89,True,general
4058,4wj7,4.89,True,general
4059,5hbn,4.89,True,refined
4060,5ier,4.89,True,general
4061,5ii2,4.89,True,refined
4062,5ipc,4.89,True,refined
4063,5j7w,4.89,True,refined
4064,5ku3,4.89,True,general
4065,5l3a,4.89,True,refined
4066,5m4u,4.89,True,general
4067,5o9o,4.89,True,refined
4068,5oha,4.89,True,refined
4069,5prc,4.89,True,general
4070,5z7b,4.89,True,refined
4071,6am8,4.89,True,general
4072,6cus,4.89,True,general
4073,3cf8,4.9,True,refined
4074,3k3j,4.9,True,general
4075,3oui,4.9,True,general
4076,4a9i,4.9,True,general
4077,4lil,4.9,True,general
4078,5npr,4.9,True,general
4079,5wfc,4.9,True,general
4080,6fnx,4.9,True,general
4081,1km3,4.91,True,refined
4082,1n0t,4.91,True,general
4083,3ibc,4.91,True,general
4084,3juq,4.91,True,general
4085,3lpt,4.91,True,general
4086,3nin,4.91,True,general
4087,3rdv,4.91,True,general
4088,3t3d,4.91,True,general
4089,3te5,4.91,True,general
4090,4apo,4.91,True,general
4091,4c0r,4.91,True,general
4092,4rqi,4.91,True,general
4093,5l8a,4.91,True,refined
4094,5xw6,4.91,True,general
4095,6iik,4.91,True,general
4096,1bzc,4.92,True,core
4097,1e1v,4.92,True,refined
4098,1ff1,4.92,True,general
4099,1h1p,4.92,True,general
4100,1h4n,4.92,True,general
4101,1jqy,4.92,True,refined
4102,1nlt,4.92,True,general
4103,1y2f,4.92,True,general
4104,2a58,4.92,True,general
4105,2c93,4.92,True,general
4106,2ggb,4.92,True,general
4107,2haw,4.92,True,refined
4108,2n06,4.92,True,general
4109,2w70,4.92,True,general
4110,3azb,4.92,True,general
4111,3chd,4.92,True,general
4112,3dgq,4.92,True,general
4113,3eax,4.92,True,refined
4114,3i6c,4.92,True,general
4115,3k15,4.92,True,general
4116,3ntp,4.92,True,general
4117,3rv8,4.92,True,refined
4118,3rv9,4.92,True,general
4119,3s00,4.92,True,general
4120,3szb,4.92,True,general
4121,3ukr,4.92,True,general
4122,3vdc,4.92,True,general
4123,4b81,4.92,True,general
4124,4c73,4.92,True,general
4125,4g55,4.92,True,general
4126,4j47,4.92,True,refined
4127,4n8d,4.92,True,general
4128,4re9,4.92,True,general
4129,4zlo,4.92,True,general
4130,5d3t,4.92,True,refined
4131,5ehp,4.92,True,general
4132,5evk,4.92,True,refined
4133,5ezg,4.92,True,general
4134,5f1j,4.92,True,general
4135,5gmi,4.92,True,general
4136,5lpl,4.92,True,general
4137,5m57,4.92,True,general
4138,5mxv,4.92,True,general
4139,5otr,4.92,True,refined
4140,5u51,4.92,True,general
4141,5whc,4.92,True,general
4142,5x79,4.92,True,general
4143,5yc4,4.92,True,general
4144,5ytu,4.92,True,general
4145,6bg3,4.92,True,general
4146,6bh3,4.92,True,general
4147,6dq4,4.92,True,refined
4148,6ful,4.92,True,general
4149,2wib,4.93,True,general
4150,2y7k,4.93,True,general
4151,3iqj,4.93,True,general
4152,3uxk,4.93,True,refined
4153,3zmj,4.93,True,general
4154,4bdc,4.93,True,general
4155,4cxy,4.93,True,general
4156,4ido,4.93,True,refined
4157,4lc7,4.93,True,general
4158,5t6j,4.93,True,general
4159,6azl,4.93,True,general
4160,1e2k,4.94,True,refined
4161,1r2b,4.94,True,general
4162,2gss,4.94,True,refined
4163,2vd0,4.94,True,general
4164,2vo4,4.94,True,refined
4165,2vpe,4.94,True,refined
4166,3dow,4.94,True,general
4167,4dmw,4.94,True,refined
4168,4j5e,4.94,True,general
4169,4lbp,4.94,True,general
4170,4mnv,4.94,True,general
4171,4nms,4.94,True,general
4172,4p4s,4.94,True,general
4173,4qht,4.94,True,general
4174,4ts1,4.94,True,refined
4175,5f32,4.94,True,general
4176,5h13,4.94,True,general
4177,5iee,4.94,True,general
4178,5yc2,4.94,True,general
4179,6f34,4.94,True,general
4180,6hmg,4.94,True,refined
4181,1jn4,4.95,True,refined
4182,2gh6,4.95,True,general
4183,2x95,4.95,True,refined
4184,2z50,4.95,True,general
4185,3bpr,4.95,True,general
4186,3mxr,4.95,True,general
4187,3vp3,4.95,True,general
4188,4bup,4.95,True,refined
4189,4cft,4.95,True,general
4190,4civ,4.95,True,general
4191,4f1q,4.95,True,general
4192,4nmv,4.95,True,general
4193,5w7i,4.95,True,general
4194,5yz2,4.95,True,refined
4195,1ao0,4.96,True,general
4196,1cea,4.96,True,general
4197,1dar,4.96,True,refined
4198,1elr,4.96,True,refined
4199,1gj5,4.96,True,general
4200,1nlp,4.96,True,general
4201,1o5g,4.96,True,refined
4202,1pg2,4.96,True,general
4203,1pwq,4.96,True,general
4204,1t3t,4.96,True,general
4205,1tsy,4.96,True,refined
4206,1uz8,4.96,True,refined
4207,2c6i,4.96,True,general
4208,2pks,4.96,True,general
4209,2vjx,4.96,True,refined
4210,2w67,4.96,True,refined
4211,2xsb,4.96,True,general
4212,2yoh,4.96,True,general
4213,3bxg,4.96,True,refined
4214,3d67,4.96,True,general
4215,3hxf,4.96,True,general
4216,3lbj,4.96,True,general
4217,3m5a,4.96,True,general
4218,3mmr,4.96,True,general
4219,3n2e,4.96,True,general
4220,3n87,4.96,True,general
4221,3udr,4.96,True,general
4222,3unj,4.96,True,general
4223,3veh,4.96,True,refined
4224,3zsq,4.96,True,refined
4225,4c16,4.96,True,general
4226,4j04,4.96,True,general
4227,4jsa,4.96,True,refined
4228,4k5l,4.96,True,general
4229,4lbl,4.96,True,general
4230,4oym,4.96,True,general
4231,4pl5,4.96,True,general
4232,4qmx,4.96,True,general
4233,4rlt,4.96,True,refined
4234,5ajo,4.96,True,general
4235,5al3,4.96,True,general
4236,5cyv,4.96,True,general
4237,5fjx,4.96,True,general
4238,5ioz,4.96,True,refined
4239,5k05,4.96,True,general
4240,5sxn,4.96,True,general
4241,5sy2,4.96,True,general
4242,5ti7,4.96,True,general
4243,5xiw,4.96,True,general
4244,2ew6,4.97,True,general
4245,2kaw,4.97,True,general
4246,2wd7,4.97,True,general
4247,3lle,4.97,True,general
4248,3qbc,4.97,True,refined
4249,3uik,4.97,True,general
4250,3zn0,4.97,True,general
4251,4c1c,4.97,True,general
4252,4c3k,4.97,True,general
4253,4e3g,4.97,True,refined
4254,4in9,4.97,True,refined
4255,4ozl,4.97,True,general
4256,5le1,4.97,True,general
4257,6drt,4.97,True,general
4258,6f4x,4.97,True,general
4259,6f9r,4.97,True,general
4260,2gfa,4.98,True,general
4261,2h2h,4.98,True,general
4262,2rox,4.98,True,general
4263,2vr3,4.98,True,general
4264,2w47,4.98,True,refined
4265,2y7w,4.98,True,general
4266,4jfl,4.98,True,general
4267,4mqp,4.98,True,general
4268,4re2,4.98,True,refined
4269,4wv6,4.98,True,general
4270,5dlv,4.98,True,general
4271,1j4p,4.99,True,general
4272,1k3n,4.99,True,general
4273,3gjs,4.99,True,general
4274,3hrf,4.99,True,general
4275,3wp0,4.99,True,general
4276,4b12,4.99,True,general
4277,4jht,4.99,True,general
4278,4qc1,4.99,True,general
4279,4tsx,4.99,True,general
4280,4w9d,4.99,True,refined
4281,4xqa,4.99,True,general
4282,5gj9,4.99,True,refined
4283,5v8p,4.99,True,general
4284,6gnw,4.99,True,refined
4285,1c84,5.0,True,refined
4286,1cp6,5.0,True,general
4287,1f8a,5.0,True,general
4288,1fgi,5.0,True,general
4289,1fv9,5.0,True,general
4290,1gsf,5.0,True,general
4291,1hlk,5.0,True,refined
4292,1hqf,5.0,True,general
4293,1i6v,5.0,True,general
4294,1ih0,5.0,True,general
4295,1inf,5.0,True,general
4296,1jm4,5.0,True,general
4297,1jpl,5.0,True,general
4298,1kr3,5.0,True,general
4299,1nc3,5.0,True,core
4300,1nnb,5.0,True,general
4301,1o35,5.0,True,refined
4302,1oai,5.0,True,general
4303,1pip,5.0,True,general
4304,1ql7,5.0,True,refined
4305,1r6z,5.0,True,general
4306,1sbr,5.0,True,general
4307,1sts,5.0,True,general
4308,1uvu,5.0,True,general
4309,1w2h,5.0,True,general
4310,1yid,5.0,True,general
4311,1zhl,5.0,True,general
4312,2aig,5.0,True,general
4313,2bgd,5.0,True,general
4314,2jqi,5.0,True,general
4315,2kbs,5.0,True,general
4316,2oiq,5.0,True,refined
4317,2oym,5.0,True,refined
4318,2qcn,5.0,True,general
4319,2vxn,5.0,True,refined
4320,2w6u,5.0,True,general
4321,2w76,5.0,True,general
4322,2y6c,5.0,True,general
4324,3cfn,5.0,True,refined
4325,3d1g,5.0,True,general
4326,3dkg,5.0,True,general
4327,3dp1,5.0,True,general
4328,3dvp,5.0,True,general
4329,3ezr,5.0,True,general
4330,3gbe,5.0,True,refined
4331,3k02,5.0,True,refined
4332,3new,5.0,True,general
4333,3omc,5.0,True,general
4334,3p9m,5.0,True,refined
4335,3pax,5.0,True,general
4336,3sv9,5.0,True,general
4337,3ufa,5.0,True,general
4338,3uii,5.0,True,general
4339,3uqg,5.0,True,general
4340,3vbv,5.0,True,general
4341,4b78,5.0,True,general
4342,4cts,5.0,True,general
4343,4czs,5.0,True,refined
4344,4g11,5.0,True,general
4345,4iu4,5.0,True,general
4346,4lv4,5.0,True,general
4347,4mdt,5.0,True,general
4348,4mw7,5.0,True,general
4349,4n5g,5.0,True,general
4350,4n8r,5.0,True,general
4351,4o62,5.0,True,general
4352,4o7c,5.0,True,general
4353,4oi6,5.0,True,general
4354,4p74,5.0,True,general
4355,4pnq,5.0,True,general
4356,4rn1,5.0,True,general
4357,4u6c,5.0,True,refined
4358,4waf,5.0,True,general
4359,4xbb,5.0,True,general
4360,4xoe,5.0,True,refined
4361,4xsx,5.0,True,general
4362,4xxh,5.0,True,refined
4363,4zh2,5.0,True,general
4364,4zsg,5.0,True,general
4365,4zsl,5.0,True,general
4366,5aux,5.0,True,general
4367,5c7e,5.0,True,general
4368,5dl1,5.0,True,general
4369,5evb,5.0,True,refined
4370,5evd,5.0,True,refined
4371,5itp,5.0,True,refined
4372,5iui,5.0,True,general
4373,5lj2,5.0,True,general
4374,5lpj,5.0,True,general
4375,5myl,5.0,True,general
4376,5nkk,5.0,True,general
4377,5nq5,5.0,True,general
4378,5o3r,5.0,True,general
4379,5wi1,5.0,True,general
4380,5x54,5.0,True,refined
4381,5yft,5.0,True,refined
4382,6axj,5.0,True,general
4383,6bto,5.0,True,general
4384,6ft7,5.0,True,general
4385,6g7f,5.0,True,general
4386,1ppi,5.01,True,refined
4387,2glp,5.01,True,refined
4388,2i1r,5.01,True,general
4389,3ads,5.01,True,general
4390,3mxs,5.01,True,general
4391,3tfk,5.01,True,general
4392,3uda,5.01,True,general
4393,4agq,5.01,True,core
4394,4btb,5.01,True,general
4395,4dds,5.01,True,general
4396,4m5g,5.01,True,general
4397,4qz4,5.01,True,general
4398,4u4x,5.01,True,general
4399,4uzh,5.01,True,general
4400,4yyl,5.01,True,general
4401,5am2,5.01,True,general
4402,5fom,5.01,True,general
4403,5ick,5.01,True,general
4404,5oa2,5.01,True,refined
4405,1fsg,5.02,True,general
4406,1u9l,5.02,True,general
4407,2cct,5.02,True,general
4408,2d0k,5.02,True,refined
4409,2m3m,5.02,True,general
4410,2or4,5.02,True,general
4411,2wji,5.02,True,general
4412,2xbp,5.02,True,refined
4413,3bgc,5.02,True,refined
4414,3smq,5.02,True,general
4415,3usx,5.02,True,refined
4416,4dow,5.02,True,general
4417,4est,5.02,True,general
4418,4l7r,5.02,True,general
4419,4mz6,5.02,True,general
4420,4nro,5.02,True,general
4421,4rlk,5.02,True,general
4422,4rll,5.02,True,general
4423,4u70,5.02,True,refined
4424,4w4s,5.02,True,general
4425,4w9l,5.02,True,core
4426,5d1s,5.02,True,general
4427,5du6,5.02,True,general
4428,5ff6,5.02,True,general
4429,5iok,5.02,True,general
4430,1i1e,5.03,True,refined
4431,2qt5,5.03,True,general
4432,3aje,5.03,True,general
4433,3rdh,5.03,True,general
4434,4io5,5.03,True,refined
4435,4jjq,5.03,True,general
4436,4np9,5.03,True,refined
4437,4rcg,5.03,True,general
4438,4trz,5.03,True,general
4439,4y6s,5.03,True,general
4440,4y7r,5.03,True,general
4441,4yat,5.03,True,general
4442,5huy,5.03,True,general
4443,5mlw,5.03,True,general
4444,5mrm,5.03,True,refined
4445,5n3y,5.03,True,refined
4446,5nyz,5.03,True,general
4447,5nz2,5.03,True,general
4448,5wio,5.03,True,general
4449,5x4p,5.03,True,general
4450,6b27,5.03,True,general
4451,6bhd,5.03,True,general
4452,6emu,5.03,True,general
4453,6fby,5.03,True,general
4454,6fmi,5.03,True,general
4455,1m5d,5.04,True,general
4456,1mfa,5.04,True,refined
4457,2h2g,5.04,True,general
4458,2jmj,5.04,True,general
4459,2oht,5.04,True,general
4460,2w85,5.04,True,general
4461,2wmv,5.04,True,general
4462,3tz0,5.04,True,refined
4463,3v4j,5.04,True,general
4464,4dgr,5.04,True,general
4465,4jaz,5.04,True,general
4466,4jym,5.04,True,refined
4467,4lk7,5.04,True,refined
4468,4lph,5.04,True,general
4469,4uu5,5.04,True,general
4470,4yp1,5.04,True,general
4471,4yuz,5.04,True,general
4472,4z7n,5.04,True,general
4473,4z7o,5.04,True,general
4474,5d3n,5.04,True,refined
4475,5f25,5.04,True,refined
4476,5loh,5.04,True,general
4477,5lyn,5.04,True,refined
4478,5ovp,5.04,True,refined
4479,5xyy,5.04,True,general
4480,6ayn,5.04,True,general
4481,1dgm,5.05,True,refined
4482,1fkw,5.05,True,refined
4483,1gi8,5.05,True,general
4484,1qxk,5.05,True,refined
4485,1uu8,5.05,True,general
4486,2brc,5.05,True,general
4487,2n9e,5.05,True,general
4488,3aau,5.05,True,refined
4489,3fpm,5.05,True,general
4490,3hxd,5.05,True,general
4491,3s2o,5.05,True,general
4492,3s76,5.05,True,refined
4493,3sxu,5.05,True,general
4494,3uzd,5.05,True,general
4495,3zjc,5.05,True,general
4496,4c94,5.05,True,general
4497,4euo,5.05,True,refined
4498,4fmq,5.05,True,general
4499,4ie7,5.05,True,general
4500,4kvm,5.05,True,general
4501,4oct,5.05,True,refined
4502,4oeg,5.05,True,general
4503,4pnw,5.05,True,general
4504,4rqv,5.05,True,refined
4505,4wci,5.05,True,general
4506,4y2y,5.05,True,general
4507,4yzu,5.05,True,refined
4508,5acx,5.05,True,general
4509,5auw,5.05,True,general
4510,5f29,5.05,True,general
4511,5i3a,5.05,True,refined
4512,5lb7,5.05,True,general
4513,5nxy,5.05,True,general
4514,5xhs,5.05,True,general
4515,5xvk,5.05,True,general
4516,5xvq,5.05,True,general
4517,6b67,5.05,True,general
4518,6bmi,5.05,True,general
4519,6d50,5.05,True,refined
4520,6eww,5.05,True,general
4521,6exi,5.05,True,refined
4522,2h6k,5.06,True,general
4523,2ipo,5.06,True,general
4524,2v77,5.06,True,refined
4525,2vwf,5.06,True,general
4526,2yge,5.06,True,core
4527,3f68,5.06,True,refined
4528,3p9h,5.06,True,general
4529,4cfx,5.06,True,general
4530,4ebw,5.06,True,general
4531,4h7q,5.06,True,refined
4532,4j7i,5.06,True,general
4533,5a2i,5.06,True,refined
4534,5c1w,5.06,True,refined
4535,5ega,5.06,True,general
4536,5h14,5.06,True,general
4537,5i0b,5.06,True,general
4538,5icy,5.06,True,general
4539,5luu,5.06,True,general
4540,5ops,5.06,True,general
4541,5tri,5.06,True,general
4542,5vjn,5.06,True,general
4543,2c3l,5.07,True,refined
4544,2i7c,5.07,True,general
4545,2xm1,5.07,True,refined
4546,2yfa,5.07,True,refined
4547,3axm,5.07,True,general
4548,3juo,5.07,True,refined
4549,3r00,5.07,True,general
4550,4eok,5.07,True,general
4551,4f8j,5.07,True,general
4552,4knz,5.07,True,general
4553,4yab,5.07,True,general
4554,5ak3,5.07,True,general
4555,5dg6,5.07,True,general
4556,5hwv,5.07,True,refined
4557,5l87,5.07,True,general
4558,5u12,5.07,True,refined
4559,6axp,5.07,True,general
4560,6dik,5.07,True,general
4561,6dq6,5.07,True,general
4562,1enu,5.08,True,refined
4563,1gfy,5.08,True,refined
4564,2qtg,5.08,True,refined
4565,3efr,5.08,True,general
4566,3m94,5.08,True,general
4567,3nw5,5.08,True,general
4568,3qsb,5.08,True,general
4569,3qyy,5.08,True,general
4570,3snd,5.08,True,general
4571,3tb6,5.08,True,refined
4572,3w2o,5.08,True,general
4573,4drk,5.08,True,general
4574,4ie0,5.08,True,general
4575,4mho,5.08,True,general
4576,4ock,5.08,True,general
4577,4ocv,5.08,True,general
4578,4od7,5.08,True,general
4579,4oiv,5.08,True,refined
4580,4twd,5.08,True,general
4581,4xx9,5.08,True,general
4582,4z2h,5.08,True,general
4583,5gmj,5.08,True,general
4584,5i13,5.08,True,general
4585,5j32,5.08,True,general
4586,5n2t,5.08,True,refined
4587,5trh,5.08,True,general
4588,1m48,5.09,True,refined
4589,1nw7,5.09,True,refined
4590,1yyy,5.09,True,general
